,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
91,1998,NBA,2,53,DAL,Greg Buckner\buckngr01,21.286,G,us,Clemson University,2000,2009,570,19.1,5.0,2.8,1.3,0.8,0.2,.450,.496,.334,.757,20.9,.092
92,2008,NBA,2,36,POR,Omer Asik\asikom01,21.363,C,tr,,2011,2018,471,19.6,5.3,7.1,0.6,0.4,0.7,.528,.528,.000,.551,20.9,.109
93,2002,NBA,2,53,MIA,Rasual Butler\butlera01,23.040,F-G,us,La Salle University,2003,2016,809,21.3,7.5,2.4,0.8,0.4,0.5,.403,.437,.362,.747,20.8,.058
94,2003,NBA,2,43,MIL,Keith Bogans\boganke01,23.050,G-F,us,University of Kentucky,2004,2014,671,21.6,6.3,2.7,1.3,0.6,0.1,.394,.442,.353,.716,20.4,.068
95,2001,NBA,2,42,SEA,Bobby Simmons\simmobo01,21.030,G-F,us,DePaul University,2002,2012,466,24.7,9.0,3.8,1.5,0.8,0.2,.437,.452,.396,.823,20.1,.084
96,2000,NBA,2,37,MIA,Eddie House\houseed01,22.051,G,us,Arizona State University,2001,2011,717,17.3,7.5,1.7,1.6,0.7,0.1,.409,.423,.390,.851,20.0,.077
97,2009,NBA,2,43,MIA,Marcus Thornton\thornma01,22.026,G,us,Louisiana State University,2010,2017,483,23.4,11.9,2.8,1.4,0.8,0.1,.425,.471,.358,.830,20.0,.085
98,2009,NBA,2,42,LAL,Patrick Beverley\beverpa01,20.353,G,us,University of Arkansas,2013,2018,302,28.6,9.4,4.1,3.4,1.3,0.4,.413,.457,.376,.767,19.9,.111
99,1994,NBA,2,30,MIN,Howard Eisley\eisleho01,21.212,G,us,Boston College,1995,2006,786,20.4,6.5,1.7,3.5,0.7,0.1,.407,.434,.350,.827,19.5,.058
100,2005,NBA,2,50,BOS,Ryan Gomes\gomesry01,22.306,F,us,Providence College,2006,2014,487,27.6,10.1,4.6,1.5,0.7,0.2,.445,.473,.349,.799,19.4,.069
101,1995,NBA,2,34,GSW,Andrew DeClercq\declean01,22.152,F-C,us,University of Florida,1996,2005,587,16.8,4.8,4.2,0.6,0.7,0.5,.507,.507,.000,.621,19.3,.094
102,2001,NBA,2,40,SEA,Earl Watson\watsoea01,22.021,G,us,University of California Los Angeles,2002,2014,878,22.2,6.4,2.3,4.4,1.0,0.2,.411,.449,.324,.703,19.2,.047
103,2005,NBA,2,37,LAL,Ronny Turiaf\turiaro01,22.172,F,mq,Gonzaga University,2006,2015,473,17.0,4.7,3.7,1.3,0.4,1.3,.533,.535,.000,.636,19.2,.115
104,2005,NBA,2,49,WAS,Andray Blatche\blatcan01,18.315,F,us,,2006,2014,564,22.1,10.1,5.4,1.4,0.9,0.8,.467,.478,.237,.725,19.2,.074
105,1989,NBA,2,43,CLE,Chucky Brown\brownch01,21.124,F,us,North Carolina State University,1990,2002,694,17.2,5.9,3.1,0.8,0.3,0.3,.491,.499,.227,.699,19.0,.076
106,1993,NBA,2,30,WSB,Gheorghe Muresan\muresgh01,22.142,C,ro,,1994,2000,307,21.9,9.8,6.4,0.5,0.6,1.5,.573,.574,.000,.644,19.0,.136
107,2009,NBA,2,37,SAS,DeJuan Blair\blairde01,20.069,F-C,us,University of Pittsburgh,2010,2016,424,16.6,6.8,5.1,0.8,0.7,0.3,.524,.526,.000,.608,19.0,.129
108,1997,NBA,2,54,SEA,Mark Blount\blounma01,21.213,C,us,University of Pittsburgh,2001,2009,605,23.1,8.2,4.6,0.8,0.5,0.8,.504,.507,.359,.723,18.8,.065
109,2008,NBA,2,31,MIN,Nikola Pekovic\pekovni01,22.180,C,me,,2011,2016,271,24.9,12.6,6.7,0.7,0.5,0.6,.518,.518,,.760,18.8,.134
110,2007,NBA,2,35,SEA,Glen Davis\davisgl01,21.183,F-C,us,Louisiana State University,2008,2015,514,21.1,8.0,4.4,0.9,0.7,0.3,.447,.451,.182,.700,18.6,.082
111,1990,NBA,2,47,PHI,Derek Strong\stronde01,22.144,F,us,Xavier University,1992,2001,456,18.7,6.8,4.9,0.6,0.4,0.2,.430,.436,.180,.786,18.5,.104
112,2007,NBA,2,37,POR,Josh McRoberts\mcrobjo01,20.125,F,us,Duke University,2008,2018,433,19.1,5.4,3.9,2.1,0.5,0.4,.463,.514,.340,.705,18.5,.107
113,1989,NBA,2,38,MIN,Doug West\westdo01,22.037,G-F,us,Villanova University,1990,2001,676,24.6,9.6,2.5,1.9,0.7,0.3,.481,.491,.191,.801,17.7,.051
114,1990,NBA,2,38,SEA,Jud Buechler\buechju01,22.013,F-G,us,University of Arizona,1991,2002,720,11.7,3.3,1.8,0.8,0.4,0.2,.433,.464,.366,.633,16.5,.094
115,1992,NBA,2,30,DAL,Sean Rooks\rooksse01,22.294,C,us,University of Arizona,1993,2004,749,18.1,6.2,3.8,0.8,0.3,0.7,.459,.461,.091,.699,16.2,.057
116,2006,NBA,2,36,MIN,Craig Smith\smithcr01,22.236,F,us,Boston College,2007,2012,403,16.9,7.6,3.9,0.8,0.5,0.2,.553,.560,.037,.661,16.0,.113
117,2006,NBA,2,42,CLE,Daniel Gibson\gibsoda01,20.126,G,us,University of Texas at Austin,2007,2013,397,23.5,7.8,2.0,2.0,0.6,0.2,.402,.397,.407,.780,16.0,.082
118,2002,NBA,2,50,BOS,Darius Songaila\songada01,24.138,F,lt,Wake Forest University,2004,2011,495,18.6,6.9,3.4,1.2,0.7,0.2,.499,.501,.158,.844,15.9,.083
119,2002,NBA,2,34,MIL,Dan Gadzuric\gadzuda01,24.150,C,nl,University of California Los Angeles,2003,2012,527,14.8,4.7,4.4,0.4,0.5,0.9,.500,.501,.000,.498,15.8,.097
120,2012,NBA,2,49,ORL,Kyle O'Quinn\oquinky01,22.100,F-C,us,Norfolk State University,2013,2018,398,15.2,5.8,4.9,1.3,0.4,1.0,.518,.535,.223,.745,15.8,.126
121,2001,NBA,2,53,UTA,Jarron Collins\collija03,22.213,F-C,us,Stanford University,2002,2011,542,15.8,3.9,2.9,0.8,0.3,0.2,.455,.456,.000,.699,15.7,.088
122,1986,NBA,2,28,CHI,Larry Krystkowiak\krystla01,21.272,F-C,us,University of Montana,1987,1997,420,21.7,8.2,4.9,1.2,0.6,0.1,.457,.461,.139,.795,15.6,.082
123,1990,NBA,2,43,SAS,Tony Massenburg\masseto01,22.337,F,us,University of Maryland,1991,2005,683,18.0,6.2,4.3,0.4,0.4,0.5,.470,.471,.091,.705,15.6,.061
124,2010,NBA,2,40,IND,Lance Stephenson\stephla01,19.297,G-F,us,University of Cincinnati,2011,2018,440,24.4,8.8,4.3,3.0,0.7,0.1,.446,.496,.303,.685,15.5,.069
125,2000,NBA,2,44,DET,Brian Cardinal\cardibr01,23.063,F,us,Purdue University,2001,2012,456,14.2,4.6,2.3,1.0,0.6,0.2,.408,.432,.372,.861,15.4,.114
126,1987,NBA,2,45,BOS,Brad Lohaus\lohaubr01,22.271,F-C,us,University of Iowa,1988,1998,656,15.8,5.9,2.8,1.1,0.5,0.8,.440,.475,.361,.733,15.2,.070
127,2012,NBA,2,40,POR,Will Barton\bartowi01,21.179,G,us,University of Memphis,2013,2018,395,22.8,10.4,3.9,2.3,0.7,0.4,.434,.481,.341,.790,15.2,.081
128,2014,NBA,2,45,CHH,Dwight Powell\poweldw01,22.347,F-C,ca,Stanford University,2015,2018,254,16.7,6.6,4.2,0.8,0.7,0.4,.535,.581,.292,.739,14.9,.170
129,2006,NBA,2,32,HOU,Steve Novak\novakst01,23.021,F,us,Marquette University,2007,2017,467,12.1,4.7,1.3,0.3,0.2,0.1,.437,.463,.430,.877,14.5,.123
130,1989,NBA,2,40,BOS,Dino Radja\radjadi01,22.070,F-C,hr,,1994,1997,224,32.6,16.7,8.4,1.6,0.9,1.3,.497,.497,.000,.735,14.3,.094
131,1987,NBA,2,40,MIL,Winston Garland\garlawi01,22.190,G,us,Missouri State University,1988,1995,511,26.2,9.4,2.8,4.7,1.3,0.2,.430,.440,.281,.830,14.2,.051
132,1988,NBA,2,38,PHO,Dean Garrett\garrede01,21.219,C,us,Indiana University,1997,2002,359,19.4,4.8,5.0,0.6,0.5,1.0,.480,.480,,.677,14.1,.097
